ENSMUSG00000000001	4495	16321	13539	13954	10619	13952	16099	12693	11138	7262	10792	11955
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	48	672	427	201	528	22	344	166	490	99	134	28
ENSMUSG00000000031	20	0	0	6	0	0	0	0	2	0	0	0
ENSMUSG00000000037	0	11	11	10	26	0	6	8	17	7	0	0
ENSMUSG00000000049	27	23	37	25	46	12	37	42	18	20	35	22
ENSMUSG00000000056	2543	3508	2814	3126	2916	1407	3215	3755	2908	2202	3537	1403
ENSMUSG00000000058	21	43	44	26	27	657	52	44	16	24	27	588
ENSMUSG00000000078	24566	10256	18402	14343	11510	92954	15197	28903	13738	15606	23916	94663
ENSMUSG00000000085	197	612	454	389	377	313	533	569	526	328	454	345
ENSMUSG00000000088	961	2328	2143	1729	1519	670	1181	1247	1047	424	937	488
ENSMUSG00000000093	1	1	3	0	3	3	1	1	3	4	1	3
ENSMUSG00000000094	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	2	6	1	5	7	6	15	13	11	3	8	2
ENSMUSG00000000125	13	237	335	56	268	42	100	68	278	60	71	22
ENSMUSG00000000126	4	3	1	2	1	15	8	7	5	3	2	16
ENSMUSG00000000127	1218	1704	1465	1520	1367	2947	1843	1878	1798	1277	1585	2612
ENSMUSG00000000131	1014	1425	1747	1307	1318	1603	1748	1519	1732	1100	1325	1526
ENSMUSG00000000134	1073	654	572	528	484	768	761	747	620	458	572	946
ENSMUSG00000000142	21	714	806	29	900	100	100	70	998	62	84	135
ENSMUSG00000000148	203	353	335	268	232	151	373	304	313	182	241	119
ENSMUSG00000000149	245	352	371	259	306	207	294	308	332	190	317	178
ENSMUSG00000000154	997	954	905	817	827	694	821	725	541	364	733	547
ENSMUSG00000000157	1	0	0	0	0	0	1	2	0	0	0	0
ENSMUSG00000000159	2137	1641	1625	1718	1318	3200	2283	2681	1743	1607	2015	2787
ENSMUSG00000000167	31	49	34	44	40	28	49	66	62	34	53	38
ENSMUSG00000000168	1246	4119	3798	3734	3278	548	4328	4123	3851	1971	3060	583
ENSMUSG00000000171	3553	11015	9144	9181	7781	2158	11555	12256	9687	6144	10100	1889
ENSMUSG00000000182	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	814	16716	10693	3293	6742	1730	3848	2257	5019	1446	1596	1600
ENSMUSG00000000194	1976	1945	1857	1814	1791	1646	2597	2705	2241	1629	2290	1738
ENSMUSG00000000197	5	11	5	1	2	0	1	7	2	9	3	0
ENSMUSG00000000202	5	24	26	8	14	83	27	8	8	9	18	52
ENSMUSG00000000204	98	44	60	43	33	82	77	82	33	24	49	106
ENSMUSG00000000214	4	13	7	9	2	4	24	15	6	10	5	2
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000223	2	4	9	4	6	0	15	2	16	4	2	0
ENSMUSG00000000244	0	0	0	0	0	1	2	0	0	0	0	0
ENSMUSG00000000247	1	0	2	0	0	1	0	0	0	0	0	0
ENSMUSG00000000248	0	1	3	0	1	0	2	0	4	2	1	0
ENSMUSG00000000253	1	13	13	20	8	32	14	14	6	2	4	36
ENSMUSG00000000263	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000000266	513	815	757	729	636	540	984	898	816	490	707	606
ENSMUSG00000000275	3848	2709	3118	3076	2642	17824	3482	3018	2535	2106	2792	19177
ENSMUSG00000000276	232	608	680	416	558	900	587	581	633	297	507	712
ENSMUSG00000000278	1418	3278	3099	3075	2906	3464	3839	3559	3011	1808	3341	3263
ENSMUSG00000000282	869	323	498	393	509	420	543	763	525	564	675	487
ENSMUSG00000000290	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000000295	204	568	460	401	467	102	545	514	531	296	411	82
ENSMUSG00000000296	10	62	65	38	62	35	66	67	75	13	41	15
ENSMUSG00000000301	11	52	45	34	29	3	44	34	23	21	32	5
ENSMUSG00000000303	18637	33783	33492	31650	28967	73260	39982	31107	27446	20045	26040	73758
ENSMUSG00000000305	0	2	5	7	2	2	5	6	6	3	6	0
ENSMUSG00000000308	24107	48730	33149	42535	33118	20806	54028	61642	41547	33932	45922	21087
ENSMUSG00000000317	25	46	70	73	60	22	101	79	96	39	39	34
ENSMUSG00000000318	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000320	1	2	0	0	0	0	0	1	1	0	0	2
ENSMUSG00000000325	111	142	118	86	124	53	100	106	162	98	130	88
ENSMUSG00000000326	375	1039	713	544	703	135	653	614	737	322	545	133
ENSMUSG00000000339	537	1340	1195	1132	1023	468	1478	1197	1099	631	889	429
ENSMUSG00000000340	418	2275	1400	1366	1255	193	1694	1152	1220	705	1029	168
ENSMUSG00000000346	2439	5052	5117	4391	4899	4859	5354	5322	4614	2512	4271	5127
ENSMUSG00000000355	356	684	590	435	568	136	621	623	551	359	554	130
ENSMUSG00000000359	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000365	4	0	0	0	0	0	0	2	0	1	0	1
ENSMUSG00000000374	3276	3712	3673	3068	2909	1320	3288	3119	2847	1631	2744	1259
ENSMUSG00000000378	229	619	476	422	432	513	426	351	403	227	333	434
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000384	834	1559	1220	1010	1232	301	1036	826	943	445	742	229
ENSMUSG00000000385	7038	9633	8956	7041	8242	4933	7498	8690	7922	4595	7295	4713
ENSMUSG00000000386	216	142	136	135	60	192	167	203	97	170	240	192
ENSMUSG00000000392	32	7	13	15	10	34	14	17	27	18	29	37
ENSMUSG00000000394	627	431	766	475	416	1104	1099	1352	509	1034	1901	1162
ENSMUSG00000000399	1796	7495	5263	5309	4693	1390	5960	5519	4711	2248	4125	1253
ENSMUSG00000000402	0	0	0	0	1	0	5	1	1	3	1	2
ENSMUSG00000000409	0	9	9	12	6	2	11	4	5	4	3	3
ENSMUSG00000000411	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000000416	24	140	130	49	200	23	127	107	210	38	81	33
ENSMUSG00000000420	3719	9639	6822	7596	5582	5079	8343	6961	5783	3950	5562	5198
ENSMUSG00000000435	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	467	1006	961	758	898	570	1037	1130	1159	569	873	474
ENSMUSG00000000440	641	1865	1815	1999	1372	5925	2482	1917	1679	955	1421	6029
ENSMUSG00000000441	2336	3310	2887	2441	2755	1484	2528	2726	2631	1401	2199	1211
ENSMUSG00000000486	5	14	4	1	14	2	5	5	3	8	2	3
ENSMUSG00000000489	218	126	123	188	153	114	152	180	173	115	141	144
ENSMUSG00000000530	6	10	5	15	12	9	15	6	10	14	6	9
ENSMUSG00000000531	152	260	268	188	242	2743	323	266	237	145	185	2251
ENSMUSG00000000532	1821	2980	2596	2917	3138	2298	3687	3639	3409	2157	2959	2440
ENSMUSG00000000538	1728	998	1143	1037	884	1127	1369	1597	1124	1043	1294	990
ENSMUSG00000000544	7018	8909	8299	8407	7398	10734	10083	9927	7705	5491	8218	10379
ENSMUSG00000000552	30	21	26	14	33	6	17	30	24	17	20	5
ENSMUSG00000000555	11	30	47	18	44	18	51	9	36	16	14	69
ENSMUSG00000000560	10	0	9	12	0	0	14	4	5	12	1	0
ENSMUSG00000000561	84	577	434	233	390	65	196	155	252	70	131	55
ENSMUSG00000000562	10	2	2	2	0	0	2	0	2	6	4	0
ENSMUSG00000000563	6255	17811	13880	14427	11833	4842	19273	18444	14720	8977	13775	4682
ENSMUSG00000000567	224	750	527	218	550	605	400	241	439	145	206	704
ENSMUSG00000000568	2179	2857	2928	2098	2704	2385	2691	2240	2410	1660	2018	2321
ENSMUSG00000000579	17	5	10	15	16	25	32	27	31	14	28	9
ENSMUSG00000000581	550	1488	1201	1145	946	442	1591	1444	1244	778	1275	489
ENSMUSG00000000594	59	209	243	202	314	120	437	452	400	188	281	144
ENSMUSG00000000600	770	1584	1168	1103	1131	887	1718	1658	1848	1155	1302	793
ENSMUSG00000000605	2038	3502	2677	2476	2538	1195	2799	2942	2309	1727	2535	1299
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000627	0	0	0	0	3	0	0	0	2	0	0	0
ENSMUSG00000000628	469	4245	4603	3361	3513	7636	4455	3151	3601	2301	2976	8567
ENSMUSG00000000631	17267	11771	10801	12967	10123	24232	15910	17116	11942	11458	13585	20924
ENSMUSG00000000632	1	2	10	3	2	0	11	1	3	4	6	0
ENSMUSG00000000673	2	1	8	7	8	7	4	7	4	3	2	9
ENSMUSG00000000682	0	0	0	2	0	6	0	2	3	1	0	1
ENSMUSG00000000686	63	100	93	58	37	15	63	25	26	28	40	1
ENSMUSG00000000690	0	2	1	7	2	3	7	8	6	1	0	0
ENSMUSG00000000693	2	4	1	1	7	0	3	2	2	0	4	0
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	6	40	92	39	58	83	22	38	91	27	36	64
ENSMUSG00000000708	1122	1831	1455	1554	1553	925	2026	2122	1730	1398	1925	802
ENSMUSG00000000711	618	933	1046	809	1048	1043	794	905	805	472	707	872
ENSMUSG00000000724	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000730	0	0	0	0	1	0	0	0	0	0	0	0
